"N","Артикул","Наименование полное","Символьный код"
"74","10315004","Куртка полевая демисезонная ""M65"", распродажа","kurtka_polevaya_demisezonnaya_m65_rasprodazha_10315004"
"75","10315020","Куртка полевая демисезонная ""M65""","kurtka_polevaya_demisezonnaya_m65_10315020"
"76","10315021","Куртка полевая демисезонная ""M65""","kurtka_polevaya_demisezonnaya_m65_10315021"
"77","10315022","Куртка полевая демисезонная ""M65""","kurtka_polevaya_demisezonnaya_m65_rasprodazha_10315022"
"78","10315025","Куртка полевая демисезонная ""M65""","kurtka_polevaya_demisezonnaya_m65_rasprodazha_10315025"
"79","10315070","Куртка полевая демисезонная ""M65""","kurtka_polevaya_demisezonnaya_m65_10315070"
"80","10330001","Ветровка типа ""Анорак"" MIL-TEC","vetrovka_tipa_anorak_mil-tec_10330001"
"81","10330002","Ветровка типа ""Анорак"" MIL-TEC","vetrovka_tipa_anorak_mil-tec_10330002"
"82","10330021","Ветровка типа ""Анорак"" MIL-TEC","vetrovka_tipa_anorak_mil-tec_10330021"
"83","10330070","Анорак летний, распродажа","anorak_letnij_rasprodazha_10330070"
"84","10335001","Анорак демисезонный ""Combat"", распродажа","anorak_demisezonnyj_combat_rasprodazha_10335001"
"85","10335002","Анорак демисезонный ""Combat"", распродажа","anorak_demisezonnyj_combat_rasprodazha_10335002"
"86","10335020","Анорак демисезонный ""Combat"", распродажа","anorak_demisezonnyj_combat_rasprodazha_10335020"
"87","10335022","Анорак демисезонный ""Combat"", распродажа","anorak_demisezonnyj_combat_rasprodazha_10335022"
"88","10335026","Анорак демисезонный ""Combat"", распродажа","anorak_demisezonnyj_combat_rasprodazha_10335026"
"89","10335070","Анорак демисезонный ""Combat"", распродажа","anorak_demisezonnyj_combat_rasprodazha_10335070"
"90","10345020","Анорак тактический","anorak_takticheskij_10345020"
"91","10350001","Куртка австрийская ""горная""","kurtka_avstrijskaya_gornaya_10350001"
"92","10350002","Куртка австрийская ""горная"" GR, распродажа","kurtka_avstrijskaya_gornaya_gr_rasprodazha"
"93","10350020","Куртка австрийская ""горная"", распродажа","kurtka_avstrijskaya_gornaya_bk_rasprodazha"
"94","10350026","Куртка австрийская ""горная"", распродажа","kurtka_avstrijskaya_gornaya_wh_rasprodazha"
"95","10350027","Куртка австрийская ""горная"", распродажа","kurtka_avstrijskaya_gornaya_ss_rasprodazha"
"96","10350029","Куртка австрийская ""горная"", распродажа","kurtka_avstrijskaya_gornaya_rasprodazha"
"97","10350031","Куртка австрийская ""горная"", распродажа","kurtka_avstrijskaya_gornaya_rasprodazha_10350031"
"98","10355026","Куртка танковая полевая камуфляжная Вермахт Реплика,распродажа","kurtka_tankovaya_polevaya_kamuflyazhnaya_vermaht_replikarasprodazha"
"99","10355027","Куртка танковая полевая камуфляжная W-SS Реплика, распродажа","kurtka_tankovaya_polevaya_kamuflyazhnaya_w-ss_replika_rasprodazha"
"100","10359002","Куртка демисезонная мотоциклетная (Швеция), распродажа","kurtka_demisezonnaya_motocikletnaya_shveciya_rasprodazha_10359002"
"101","10401001","Куртка лётная ""MA1""","kurtka_lyotnaya_ma1_10401001"
"102","10401002","Куртка лётная ""MA1""","kurtka_lyotnaya_ma1_10401002"
"103","10401003","Куртка лётная ""MA1""","kurtka_lyotnaya_ma1_10401003"
"104","10401005","Куртка лётная ""MA1""","kurtka_lyotnaya_ma1_rasprodazha_10401005"
"105","10401020","Куртка лётная ""MA1""","kurtka_lyotnaya_ma1_10401020"
"106","10401022","Куртка лётная ""MA1""","kurtka_lyotnaya_ma1_10401022"
"107","10401070","Куртка лётная ""MA1"", распродажа","kurtka_lyotnaya_ma1_10401070"
"108","10404001","Куртка лётная ""CWU""","kurtka_lyotnaya_cwu_10404001"
"109","10404002","Куртка лётная ""CWU""","kurtka_lyotnaya_cwu_10404002"
"110","10404003","Куртка лётная ""CWU""","kurtka_lyotnaya_cwu_10404003"
"111","10405002","Куртка лётная ""CWU S.W.A.T.""","kurtka_lyotnaya_cwu_s_w_a_t__10405002"
"112","10405003","Куртка лётная CWU с воротником, распродажа","kurtka_lyotnaya_cwu_s_vorotnikom_rasprodazha"
"113","10410001","Куртка зимняя лётная N2B ""Аляска""","kurtka_lyotnaya_n2b_10410001"
"114","10410002","Куртка зимняя лётная N2B ""Аляска""","kurtka_lyotnaya_n2b_10410002"
"115","10410003","Куртка зимняя лётная N2B ""Аляска""","kurtka_lyotnaya_n2b_10410003"
"116","10410005","Куртка зимняя лётная N2B ""Аляска"", распродажа","kurtka_lyotnaya_n2b_cb_rasprodazha"
"117","10450009","Куртка лётная кожаная американская B3","kurtka_lyotnaya_kozhanaya_amerikanskaya_b3_10450009"
"118","10451009","Куртка лётная кожаная английская RAF IRVING","kurtka_lyotnaya_kozhanaya_anglijskaya_raf_irving"
"119","10460009","Куртка лётная кожаная американская A2","kurtka_lyotnaya_kozhanaya_amerikanskaya_a2_10460009"
"120","10461002","Куртка лётная кожаная Бундесвер","kurtka_lyotnaya_kozhanaya_bundesver_10461002"
